Channel ID,Channel URL,Channel title
UC0NiLR9hI_bkJf74r6nxm5A,http://www.youtube.com/channel/UC0NiLR9hI_bkJf74r6nxm5A,saparata
UC0NkSnlCOhoODbykzZwpiDw,http://www.youtube.com/channel/UC0NkSnlCOhoODbykzZwpiDw,albert_cancook
UC0OvbMzPNANO4wGdmrznKSA,http://www.youtube.com/channel/UC0OvbMzPNANO4wGdmrznKSA,Neso Academy - Languages
UC0PDWWdR6UUWmVVWT3Ch5jA,http://www.youtube.com/channel/UC0PDWWdR6UUWmVVWT3Ch5jA,Follow The Compass North
UC0QGn0DIb6_7_KreIhX1O5A,http://www.youtube.com/channel/UC0QGn0DIb6_7_KreIhX1O5A,Max Scheffler
UC0QHWhjbe5fGJEPz3sVb6nw,http://www.youtube.com/channel/UC0QHWhjbe5fGJEPz3sVb6nw,Doctor Mike
UC0QznCGQfy78yT1-VqezmOQ,http://www.youtube.com/channel/UC0QznCGQfy78yT1-VqezmOQ,Ovalbore
UC0R6pL4lMcrrmSL9wYTUaQg,http://www.youtube.com/channel/UC0R6pL4lMcrrmSL9wYTUaQg,Comic Stories
UC0S7nuiG4k9xraTxydnplkw,http://www.youtube.com/channel/UC0S7nuiG4k9xraTxydnplkw,Chinsk Design
UC0ZTPkdxlAKf-V33tqXwi3Q,http://www.youtube.com/channel/UC0ZTPkdxlAKf-V33tqXwi3Q,HackerSploit
UC0aRbU6guMEMY8RpGMP_ayw,http://www.youtube.com/channel/UC0aRbU6guMEMY8RpGMP_ayw,Prussian Blue
UC0acyjZydkeMUJEr9aRMHSQ,http://www.youtube.com/channel/UC0acyjZydkeMUJEr9aRMHSQ,The Aperiodical
UC0afN6pfGfPUbquFGDE3f5A,http://www.youtube.com/channel/UC0afN6pfGfPUbquFGDE3f5A,Angel Ganev
UC0bgp0cr1IaEB2TioYJMpAQ,http://www.youtube.com/channel/UC0bgp0cr1IaEB2TioYJMpAQ,12 Pell
UC0cd_-e49hZpWLH3UIwoWRA,http://www.youtube.com/channel/UC0cd_-e49hZpWLH3UIwoWRA,Professor Dave Explains
UC0dECQM_ajuQtXmwq74Imvw,http://www.youtube.com/channel/UC0dECQM_ajuQtXmwq74Imvw,Grub with Greg
